direction,time_window_end,time_window_start,tollgate_id,volume,minutes_since_0,minutes_diff_13,before_holiday,after_holiday,holiday_len,is_am,neigh_4hour_std_value,neigh_4hour_avg_value,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation
1,2016-09-19 01:00:00,2016-09-19 00:40:00,3,93.0,40,820,False,True,0,False,48.79036790187178,146.5,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
0,2016-09-19 01:00:00,2016-09-19 00:40:00,3,16.0,40,820,False,True,0,False,0.7071067811865476,16.5,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
1,2016-09-19 01:00:00,2016-09-19 00:40:00,1,31.0,40,820,False,True,0,False,59.39696961966999,98.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
0,2016-09-19 01:00:00,2016-09-19 00:40:00,1,9.0,40,820,False,True,0,False,4.949747468305833,9.5,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
1,2016-09-19 01:20:00,2016-09-19 01:00:00,3,4.0,60,720,False,True,0,False,46.30694692304096,128.66666666666666,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
0,2016-09-19 01:20:00,2016-09-19 01:00:00,3,17.0,60,720,False,True,0,False,0.5773502691896258,16.333333333333332,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
1,2016-09-19 01:20:00,2016-09-19 01:00:00,1,4.0,60,720,False,True,0,False,57.09932865921747,75.66666666666667,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
0,2016-09-19 01:20:00,2016-09-19 01:00:00,1,10.0,60,720,False,True,0,False,3.511884584284246,9.333333333333334,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
1,2016-09-19 01:40:00,2016-09-19 01:20:00,3,5.0,80,740,False,True,0,False,72.90404652692469,97.5,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
0,2016-09-19 01:40:00,2016-09-19 01:20:00,3,17.0,80,740,False,True,0,False,0.5773502691896257,16.5,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
1,2016-09-19 01:40:00,2016-09-19 01:20:00,1,14.0,80,740,False,True,0,False,58.80121880822993,57.75,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
0,2016-09-19 01:40:00,2016-09-19 01:20:00,1,14.0,80,740,False,True,0,False,2.886751345948129,9.5,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
1,2016-09-19 02:00:00,2016-09-19 01:40:00,3,4.0,100,760,False,True,0,False,75.48178588242332,79.0,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
0,2016-09-19 02:00:00,2016-09-19 01:40:00,3,11.0,100,760,False,True,0,False,0.5477225575051661,16.6,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
0,2016-09-19 02:00:00,2016-09-19 01:40:00,2,2.0,100,760,False,True,0,False,0.7071067811865476,1.5,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
1,2016-09-19 02:00:00,2016-09-19 01:40:00,1,7.0,100,760,False,True,0,False,54.55272678794342,49.0,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
0,2016-09-19 02:00:00,2016-09-19 01:40:00,1,10.0,100,760,False,True,0,False,3.2093613071762426,10.4,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
1,2016-09-19 02:20:00,2016-09-19 02:00:00,3,5.0,120,660,False,True,0,False,74.13163966890251,66.5,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
0,2016-09-19 02:20:00,2016-09-19 02:00:00,3,11.0,120,660,False,True,0,False,2.3380903889000244,15.666666666666666,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
1,2016-09-19 02:20:00,2016-09-19 02:00:00,1,7.0,120,660,False,True,0,False,51.71846865482388,42.0,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
0,2016-09-19 02:20:00,2016-09-19 02:00:00,1,7.0,120,660,False,True,0,False,2.875181153713043,10.333333333333334,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
1,2016-09-19 02:40:00,2016-09-19 02:20:00,3,4.0,140,680,False,True,0,False,71.55350978047662,57.714285714285715,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
0,2016-09-19 02:40:00,2016-09-19 02:20:00,3,14.0,140,680,False,True,0,False,2.7688746209726918,15.0,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
1,2016-09-19 02:40:00,2016-09-19 02:20:00,1,7.0,140,680,False,True,0,False,49.03060268852505,37.0,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
0,2016-09-19 02:40:00,2016-09-19 02:20:00,1,10.0,140,680,False,True,0,False,2.9113897843110044,9.857142857142858,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
0,2016-09-19 03:00:00,2016-09-19 02:40:00,3,18.0,160,700,False,True,0,False,2.5877458475338284,14.875,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
1,2016-09-19 03:00:00,2016-09-19 02:40:00,1,10.0,160,700,False,True,0,False,46.61621422393102,33.25,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
0,2016-09-19 03:00:00,2016-09-19 02:40:00,1,6.0,160,700,False,True,0,False,2.6958963523950885,9.875,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
1,2016-09-19 03:20:00,2016-09-19 03:00:00,3,5.0,180,600,False,True,0,False,68.91402511203984,51.0,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
0,2016-09-19 03:20:00,2016-09-19 03:00:00,3,10.0,180,600,False,True,0,False,2.6352313834736494,15.222222222222221,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
1,2016-09-19 03:20:00,2016-09-19 03:00:00,1,10.0,180,600,False,True,0,False,44.288824775557096,30.666666666666668,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
0,2016-09-19 03:20:00,2016-09-19 03:00:00,1,9.0,180,600,False,True,0,False,2.8333333333333335,9.444444444444445,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
1,2016-09-19 03:40:00,2016-09-19 03:20:00,3,3.0,200,620,False,True,0,False,66.26168660026026,45.888888888888886,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
0,2016-09-19 03:40:00,2016-09-19 03:20:00,3,10.0,200,620,False,True,0,False,2.9832867780352594,14.7,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
1,2016-09-19 03:40:00,2016-09-19 03:20:00,1,14.0,200,620,False,True,0,False,42.264248090634084,28.6,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
0,2016-09-19 03:40:00,2016-09-19 03:20:00,1,4.0,200,620,False,True,0,False,2.6749870196985173,9.4,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
1,2016-09-19 04:00:00,2016-09-19 03:40:00,3,10.0,220,640,False,True,0,False,63.92738936567886,41.6,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
0,2016-09-19 04:00:00,2016-09-19 03:40:00,3,9.0,220,640,False,True,0,False,3.1651511525015383,14.272727272727273,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
1,2016-09-19 04:00:00,2016-09-19 03:40:00,1,20.0,220,640,False,True,0,False,40.33631343861486,27.272727272727273,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
0,2016-09-19 04:00:00,2016-09-19 03:40:00,1,9.0,220,640,False,True,0,False,3.015113445777636,8.909090909090908,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
1,2016-09-19 04:20:00,2016-09-19 04:00:00,3,4.0,240,540,False,True,0,False,61.39070110218797,38.72727272727273,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
0,2016-09-19 04:20:00,2016-09-19 04:00:00,3,11.0,240,540,False,True,0,False,3.3799766898963113,13.833333333333334,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
1,2016-09-19 04:20:00,2016-09-19 04:00:00,1,18.0,240,540,False,True,0,False,38.51642703464525,26.666666666666668,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
0,2016-09-19 04:20:00,2016-09-19 04:00:00,1,10.0,240,540,False,True,0,False,2.8749176536296677,8.916666666666666,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
1,2016-09-19 04:40:00,2016-09-19 04:20:00,3,7.0,260,560,False,True,0,False,39.75493108350894,22.636363636363637,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
0,2016-09-19 04:40:00,2016-09-19 04:20:00,3,8.0,260,560,False,True,0,False,3.312053286059415,13.333333333333334,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
1,2016-09-19 04:40:00,2016-09-19 04:20:00,1,17.0,260,560,False,True,0,False,14.488239745017022,16.5,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
0,2016-09-19 04:40:00,2016-09-19 04:20:00,1,13.0,260,560,False,True,0,False,2.6053557891157184,8.666666666666666,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
1,2016-09-19 05:00:00,2016-09-19 04:40:00,3,3.0,280,580,False,True,0,False,26.572371160491286,13.090909090909092,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
0,2016-09-19 05:00:00,2016-09-19 04:40:00,3,10.0,280,580,False,True,0,False,3.5248038845079632,12.666666666666666,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
1,2016-09-19 05:00:00,2016-09-19 04:40:00,1,23.0,280,580,False,True,0,False,7.521182208814105,13.25,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
0,2016-09-19 05:00:00,2016-09-19 04:40:00,1,12.0,280,580,False,True,0,False,2.7344602259445514,9.25,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
1,2016-09-19 05:20:00,2016-09-19 05:00:00,3,11.0,300,480,False,True,0,False,2.0225995873897267,4.909090909090909,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
0,2016-09-19 05:20:00,2016-09-19 05:00:00,3,9.0,300,480,False,True,0,False,3.4333480435107053,12.166666666666666,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
0,2016-09-19 05:20:00,2016-09-19 05:00:00,2,14.0,300,480,False,True,0,False,0.7071067811865476,1.5,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
1,2016-09-19 05:20:00,2016-09-19 05:00:00,1,28.0,300,480,False,True,0,False,6.006940430313367,12.583333333333334,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
0,2016-09-19 05:20:00,2016-09-19 05:00:00,1,2.0,300,480,False,True,0,False,2.8444523358476395,9.5,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
1,2016-09-19 05:40:00,2016-09-19 05:20:00,3,7.0,320,500,False,True,0,False,2.6967994498529686,5.545454545454546,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
0,2016-09-19 05:40:00,2016-09-19 05:20:00,3,14.0,320,500,False,True,0,False,3.1766191290283907,11.5,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
0,2016-09-19 05:40:00,2016-09-19 05:20:00,2,12.0,320,500,False,True,0,False,8.48528137423857,8.0,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
1,2016-09-19 05:40:00,2016-09-19 05:20:00,1,24.0,320,500,False,True,0,False,6.828527504432261,14.583333333333334,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
0,2016-09-19 05:40:00,2016-09-19 05:20:00,1,8.0,320,500,False,True,0,False,3.563280749108846,8.833333333333334,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
