direction,time_window_end,time_window_start,tollgate_id,volume,minutes_since_0,minutes_diff_13,before_holiday,after_holiday,start_holiday,end_holiday,holiday_len,is_am,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation
1,2016-09-19 00:20:00,2016-09-19 00:00:00,3,181.0,0,780,False,True,False,False,0,False,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
0,2016-09-19 00:20:00,2016-09-19 00:00:00,3,17.0,0,780,False,True,False,False,0,False,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
1,2016-09-19 00:20:00,2016-09-19 00:00:00,1,140.0,0,780,False,True,False,False,0,False,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
0,2016-09-19 00:20:00,2016-09-19 00:00:00,1,13.0,0,780,False,True,False,False,0,False,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
0,2016-09-19 00:20:00,2016-09-19 00:00:00,2,2.0,0,780,False,True,False,False,0,False,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
1,2016-09-19 00:40:00,2016-09-19 00:20:00,3,112.0,20,800,False,True,False,False,0,False,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
0,2016-09-19 00:40:00,2016-09-19 00:20:00,3,16.0,20,800,False,True,False,False,0,False,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
1,2016-09-19 00:40:00,2016-09-19 00:20:00,1,56.0,20,800,False,True,False,False,0,False,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
0,2016-09-19 00:40:00,2016-09-19 00:20:00,1,6.0,20,800,False,True,False,False,0,False,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
1,2016-09-19 01:00:00,2016-09-19 00:40:00,3,93.0,40,820,False,True,False,False,0,False,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
0,2016-09-19 01:00:00,2016-09-19 00:40:00,3,16.0,40,820,False,True,False,False,0,False,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
1,2016-09-19 01:00:00,2016-09-19 00:40:00,1,31.0,40,820,False,True,False,False,0,False,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
0,2016-09-19 01:00:00,2016-09-19 00:40:00,1,9.0,40,820,False,True,False,False,0,False,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
1,2016-09-19 01:20:00,2016-09-19 01:00:00,3,4.0,60,720,False,True,False,False,0,False,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
0,2016-09-19 01:20:00,2016-09-19 01:00:00,3,17.0,60,720,False,True,False,False,0,False,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
1,2016-09-19 01:20:00,2016-09-19 01:00:00,1,4.0,60,720,False,True,False,False,0,False,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
0,2016-09-19 01:20:00,2016-09-19 01:00:00,1,10.0,60,720,False,True,False,False,0,False,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
0,2016-09-19 01:20:00,2016-09-19 01:00:00,2,1.0,60,720,False,True,False,False,0,False,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
1,2016-09-19 01:40:00,2016-09-19 01:20:00,3,5.0,80,740,False,True,False,False,0,False,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
0,2016-09-19 01:40:00,2016-09-19 01:20:00,3,17.0,80,740,False,True,False,False,0,False,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
1,2016-09-19 01:40:00,2016-09-19 01:20:00,1,14.0,80,740,False,True,False,False,0,False,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
0,2016-09-19 01:40:00,2016-09-19 01:20:00,1,14.0,80,740,False,True,False,False,0,False,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
1,2016-09-19 02:00:00,2016-09-19 01:40:00,3,4.0,100,760,False,True,False,False,0,False,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
