direction,time_window_end,time_window_start,tollgate_id,volume,minutes_since_0,minutes_diff_13,before_holiday,after_holiday,start_holiday,end_holiday,holiday_len,is_am,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,neigh_2h_volume_avg,neigh_2h_volume_std
1,2016-09-19 06:20:00,2016-09-19 06:00:00,3,30.0,360,420,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,5.4,2.4166091947189146
0,2016-09-19 06:20:00,2016-09-19 06:00:00,3,39.0,360,420,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,12.0,3.1091263510296048
1,2016-09-19 06:20:00,2016-09-19 06:00:00,1,39.0,360,420,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,11.333333333333336,4.5338235029118135
0,2016-09-19 06:20:00,2016-09-19 06:00:00,1,8.0,360,420,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,7.5,2.0615528128088303
1,2016-09-19 06:40:00,2016-09-19 06:20:00,3,38.0,380,440,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,5.2,2.4819347291981715
0,2016-09-19 06:40:00,2016-09-19 06:20:00,3,58.0,380,440,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,12.0,3.1091263510296048
1,2016-09-19 06:40:00,2016-09-19 06:20:00,1,57.0,380,440,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,13.166666666666664,4.6338129248192805
0,2016-09-19 06:40:00,2016-09-19 06:20:00,1,13.0,380,440,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,8.0,2.23606797749979
0,2016-09-19 07:00:00,2016-09-19 06:40:00,3,71.0,400,460,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,11.0,3.2659863237109037
1,2016-09-19 07:00:00,2016-09-19 06:40:00,1,72.0,400,460,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,14.833333333333336,3.847798793538399
0,2016-09-19 07:00:00,2016-09-19 06:40:00,1,32.0,400,460,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,8.5,2.8722813232690143
1,2016-09-19 07:20:00,2016-09-19 07:00:00,3,67.0,420,360,False,True,False,False,0,False,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,5.333333333333333,2.494438257849294
0,2016-09-19 07:20:00,2016-09-19 07:00:00,3,127.0,420,360,False,True,False,False,0,False,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,9.666666666666666,0.9428090415820634
1,2016-09-19 07:20:00,2016-09-19 07:00:00,1,70.0,420,360,False,True,False,False,0,False,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,17.0,4.163331998932265
0,2016-09-19 07:20:00,2016-09-19 07:00:00,1,39.0,420,360,False,True,False,False,0,False,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,9.5,2.8722813232690143
1,2016-09-19 07:40:00,2016-09-19 07:20:00,3,71.0,440,380,False,True,False,False,0,False,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,6.333333333333332,3.2489314482696545
0,2016-09-19 07:40:00,2016-09-19 07:20:00,3,123.0,440,380,False,True,False,False,0,False,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,9.5,0.957427107756338
1,2016-09-19 07:40:00,2016-09-19 07:20:00,1,83.0,440,380,False,True,False,False,0,False,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,20.0,4.509249752822893
0,2016-09-19 07:40:00,2016-09-19 07:20:00,1,31.0,440,380,False,True,False,False,0,False,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,8.333333333333334,4.027681991198191
1,2016-09-19 08:00:00,2016-09-19 07:40:00,3,103.0,460,400,False,True,False,False,0,False,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,7.0,2.8867513459481287
0,2016-09-19 08:00:00,2016-09-19 07:40:00,3,153.0,460,400,False,True,False,False,0,False,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,10.166666666666666,1.950783318453271
1,2016-09-19 08:00:00,2016-09-19 07:40:00,1,118.0,460,400,False,True,False,False,0,False,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,21.66666666666667,3.771236166328253
0,2016-09-19 08:00:00,2016-09-19 07:40:00,1,43.0,460,400,False,True,False,False,0,False,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,9.0,3.559026084010437
