direction,time_window_end,time_window_start,tollgate_id,volume,minutes_since_0,minutes_diff_13,before_holiday,after_holiday,start_holiday,end_holiday,holiday_len,is_am,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,neigh_2h_volume_avg,neigh_2h_volume_std
1,2016-09-19 04:20:00,2016-09-19 04:00:00,3,4.0,240,540,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,66.5,67.67261878583784
0,2016-09-19 04:20:00,2016-09-19 04:00:00,3,11.0,240,540,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,15.666666666666666,2.1343747458109497
1,2016-09-19 04:20:00,2016-09-19 04:00:00,1,18.0,240,540,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,42.0,47.21228653645151
0,2016-09-19 04:20:00,2016-09-19 04:00:00,1,10.0,240,540,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,10.333333333333334,2.6246692913372702
1,2016-09-19 04:40:00,2016-09-19 04:20:00,3,7.0,260,560,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,37.166666666666664,46.52388872635458
0,2016-09-19 04:40:00,2016-09-19 04:20:00,3,8.0,260,560,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,14.666666666666666,2.6246692913372702
1,2016-09-19 04:40:00,2016-09-19 04:20:00,1,17.0,260,560,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,19.833333333333332,18.469945557280045
0,2016-09-19 04:40:00,2016-09-19 04:20:00,1,13.0,260,560,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,9.333333333333334,2.560381915956203
1,2016-09-19 05:00:00,2016-09-19 04:40:00,3,3.0,280,580,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,19.166666666666668,33.022298863377486
0,2016-09-19 05:00:00,2016-09-19 04:40:00,3,10.0,280,580,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,14.333333333333334,2.560381915956203
1,2016-09-19 05:00:00,2016-09-19 04:40:00,1,23.0,280,580,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,11.666666666666666,9.159087776022725
0,2016-09-19 05:00:00,2016-09-19 04:40:00,1,12.0,280,580,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,10.0,2.0816659994661326
1,2016-09-19 05:20:00,2016-09-19 05:00:00,3,11.0,300,480,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,4.4,0.48989794855663565
0,2016-09-19 05:20:00,2016-09-19 05:00:00,3,9.0,300,480,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,14.666666666666666,2.8674417556808756
1,2016-09-19 05:20:00,2016-09-19 05:00:00,1,28.0,300,480,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,8.166666666666666,3.131382371342656
0,2016-09-19 05:20:00,2016-09-19 05:00:00,1,2.0,300,480,False,True,False,False,0,False,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,9.5,2.565800719723442
