intersection_id,tollgate_id,time_window_start,time_window_end,travel_time,vehicle_id,cost,extracost
A,2,2016-10-18 06:00:00,2016-10-18 06:20:00,27.54,1026631,26.95,0.5899999999999999
C,3,2016-10-18 06:00:00,2016-10-18 06:20:00,139.53,1017312,137.05,2.4799999999999898
A,2,2016-10-18 06:00:00,2016-10-18 06:20:00,26.01,1044671,25.439999999999998,0.5700000000000038
A,3,2016-10-18 06:00:00,2016-10-18 06:20:00,78.4,1000017,78.74000000000001,-0.3400000000000034
A,2,2016-10-18 06:00:00,2016-10-18 06:20:00,71.0,1002850,71.09,-0.09000000000000341
A,2,2016-10-18 06:00:00,2016-10-18 06:20:00,20.27,1019077,20.17,0.09999999999999787
A,3,2016-10-18 06:00:00,2016-10-18 06:20:00,104.14,1049060,104.64,-0.5
C,1,2016-10-18 06:00:00,2016-10-18 06:20:00,165.67000000000004,1046993,164.97999999999996,0.690000000000083
B,3,2016-10-18 06:00:00,2016-10-18 06:20:00,54.75,1022126,53.24,1.509999999999998
B,1,2016-10-18 06:00:00,2016-10-18 06:20:00,57.82,1015832,57.47,0.3500000000000014
A,3,2016-10-18 06:00:00,2016-10-18 06:20:00,25.9,1042861,25.53,0.36999999999999744
A,2,2016-10-18 06:00:00,2016-10-18 06:20:00,60.44,1003226,60.989999999999995,-0.5499999999999972
C,1,2016-10-18 06:00:00,2016-10-18 06:20:00,125.03,1018917,93.36,31.67
A,2,2016-10-18 06:00:00,2016-10-18 06:20:00,42.22,1018118,41.519999999999996,0.7000000000000028
A,2,2016-10-18 06:00:00,2016-10-18 06:20:00,40.2,1022678,39.81,0.39000000000000057
B,1,2016-10-18 06:20:00,2016-10-18 06:40:00,48.68,1009802,48.57,0.10999999999999943
A,2,2016-10-18 06:20:00,2016-10-18 06:40:00,49.7,1018937,49.76,-0.05999999999999517
A,2,2016-10-18 06:20:00,2016-10-18 06:40:00,36.67,1008599,35.79,0.8800000000000026
C,1,2016-10-18 06:20:00,2016-10-18 06:40:00,138.0,1010394,137.2,0.8000000000000114
A,3,2016-10-18 06:20:00,2016-10-18 06:40:00,100.92,1007888,100.64999999999999,0.27000000000001023
B,3,2016-10-18 06:20:00,2016-10-18 06:40:00,152.92000000000004,1006634,143.57999999999998,9.34000000000006
A,2,2016-10-18 06:20:00,2016-10-18 06:40:00,34.19,1002214,34.63,-0.44000000000000483
A,2,2016-10-18 06:20:00,2016-10-18 06:40:00,36.98,1006552,36.49,0.4899999999999949
A,3,2016-10-18 06:20:00,2016-10-18 06:40:00,183.1,1019091,183.28,-0.18000000000000682
B,3,2016-10-18 06:20:00,2016-10-18 06:40:00,119.71,1016967,117.18,2.529999999999987
A,2,2016-10-18 06:20:00,2016-10-18 06:40:00,39.72,1010221,40.22,-0.5
C,1,2016-10-18 06:20:00,2016-10-18 06:40:00,134.45,1025361,134.43,0.01999999999998181
B,3,2016-10-18 06:20:00,2016-10-18 06:40:00,90.43,1000813,87.52,2.910000000000011
A,2,2016-10-18 06:20:00,2016-10-18 06:40:00,64.83,1023696,64.89999999999999,-0.06999999999999318
C,1,2016-10-18 06:40:00,2016-10-18 07:00:00,158.71,1011887,157.94,0.7700000000000102
