intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 06:00:00,2016-10-18 06:20:00)",57.495965511806865
A,2,"[2016-10-18 06:20:00,2016-10-18 06:40:00)",57.019426146017224
A,2,"[2016-10-18 06:40:00,2016-10-18 07:00:00)",66.94980903343698
A,2,"[2016-10-18 07:00:00,2016-10-18 07:20:00)",61.375536738048936
A,2,"[2016-10-18 07:20:00,2016-10-18 07:40:00)",61.620368098400505
A,2,"[2016-10-18 07:40:00,2016-10-18 08:00:00)",75.92357546802633
A,2,"[2016-10-18 15:00:00,2016-10-18 15:20:00)",70.26429797780267
A,2,"[2016-10-18 15:20:00,2016-10-18 15:40:00)",67.49438187632977
A,2,"[2016-10-18 15:40:00,2016-10-18 16:00:00)",65.7944830712062
A,2,"[2016-10-18 16:00:00,2016-10-18 16:20:00)",63.13467503424614
A,2,"[2016-10-18 16:20:00,2016-10-18 16:40:00)",70.69503303505853
A,2,"[2016-10-18 16:40:00,2016-10-18 17:00:00)",59.02049155378319
A,2,"[2016-10-19 06:00:00,2016-10-19 06:20:00)",56.43703640889433
A,2,"[2016-10-19 06:20:00,2016-10-19 06:40:00)",58.53416799173988
A,2,"[2016-10-19 06:40:00,2016-10-19 07:00:00)",55.329242703337016
A,2,"[2016-10-19 07:00:00,2016-10-19 07:20:00)",58.33814997850412
A,2,"[2016-10-19 07:20:00,2016-10-19 07:40:00)",62.95254476044943
A,2,"[2016-10-19 07:40:00,2016-10-19 08:00:00)",77.1973958729443
A,2,"[2016-10-19 15:00:00,2016-10-19 15:20:00)",73.56868502526713
A,2,"[2016-10-19 15:20:00,2016-10-19 15:40:00)",76.13010446017513
A,2,"[2016-10-19 15:40:00,2016-10-19 16:00:00)",67.10405393403319
A,2,"[2016-10-19 16:00:00,2016-10-19 16:20:00)",62.87487046474178
A,2,"[2016-10-19 16:20:00,2016-10-19 16:40:00)",70.87672337342006
A,2,"[2016-10-19 16:40:00,2016-10-19 17:00:00)",57.84044877539363
A,2,"[2016-10-20 06:00:00,2016-10-20 06:20:00)",56.65053556597289
A,2,"[2016-10-20 06:20:00,2016-10-20 06:40:00)",61.25780109669776
A,2,"[2016-10-20 06:40:00,2016-10-20 07:00:00)",54.297242459720636
A,2,"[2016-10-20 07:00:00,2016-10-20 07:20:00)",62.870959417319334
A,2,"[2016-10-20 07:20:00,2016-10-20 07:40:00)",67.54547328611645
A,2,"[2016-10-20 07:40:00,2016-10-20 08:00:00)",78.60978124794431
A,2,"[2016-10-20 15:00:00,2016-10-20 15:20:00)",71.54527269298217
A,2,"[2016-10-20 15:20:00,2016-10-20 15:40:00)",76.00587440415183
A,2,"[2016-10-20 15:40:00,2016-10-20 16:00:00)",63.86202653997833
A,2,"[2016-10-20 16:00:00,2016-10-20 16:20:00)",66.35184565817852
A,2,"[2016-10-20 16:20:00,2016-10-20 16:40:00)",70.44222559802968
A,2,"[2016-10-20 16:40:00,2016-10-20 17:00:00)",57.72715589432737
A,2,"[2016-10-21 06:00:00,2016-10-21 06:20:00)",55.2067784700762
A,2,"[2016-10-21 06:20:00,2016-10-21 06:40:00)",56.546526164055905
A,2,"[2016-10-21 06:40:00,2016-10-21 07:00:00)",65.83704758570735
A,2,"[2016-10-21 07:00:00,2016-10-21 07:20:00)",60.13026941654111
A,2,"[2016-10-21 07:20:00,2016-10-21 07:40:00)",65.55476858904001
