link_id,length,width,lanes,capacity,tan,intop_cnt,outtop_cnt,io_link_ratio,in_cap_ratio,out_cap_ratio,in_lane_ratio,out_lane_ratio,io_cap_ratio,io_lane_ratio
100,58,3,1,174,19.333333333333332,1,1,1.0,2.689655172413793,0.11983471074380166,2.0,0.25,0.32231404958677684,0.5
101,84,3,1,252,28.0,1,1,1.0,6.428571428571429,0.711864406779661,3.0,1.0,4.576271186440678,3.0
102,131,9,3,1179,14.555555555555555,1,1,1.0,0.816793893129771,0.9703703703703703,1.0,1.0,0.7925925925925926,1.0
103,23,12,4,276,1.9166666666666667,1,2,0.5,5.260869565217392,0.1248303934871099,1.0,1.0,0.6567164179104478,1.0
104,293,9,3,2637,32.55555555555556,1,1,1.0,0.46075085324232085,1.4723618090452262,1.0,1.0,0.678391959798995,1.0
105,78,6,2,468,13.0,1,1,1.0,0.002136752136752137,2.689655172413793,0.5,2.0,0.005747126436781609,1.0
106,15,3,1,45,5.0,1,1,1.0,7.866666666666666,0.052083333333333336,1.0,0.5,0.4097222222222222,0.5
107,34,9,3,306,3.7777777777777777,1,1,1.0,1.7352941176470589,0.85,1.0,1.0,1.475,1.0
108,40,9,3,360,4.444444444444445,1,2,0.5,0.85,8.0,1.0,1.5,6.8,1.5
109,135,9,3,1215,15.0,1,1,1.0,0.9703703703703703,0.46075085324232085,1.0,1.0,0.447098976109215,1.0
110,109,9,3,981,12.11111111111111,1,1,1.0,0.0010193679918450561,1.847457627118644,0.3333333333333333,1.0,0.0018832391713747645,0.3333333333333333
111,121,12,4,1452,10.083333333333334,2,1,2.0,1.353305785123967,5.260869565217392,1.0,1.0,7.119565217391305,1.0
112,199,9,3,1791,22.11111111111111,1,1,1.0,1.4723618090452262,1.2334710743801653,1.0,0.75,1.8161157024793388,0.75
113,144,6,2,864,24.0,1,1,1.0,0.052083333333333336,864.0,0.5,2.0,45.0,1.0
114,198,3,1,594,66.0,1,1,1.0,0.045454545454545456,0.32038834951456313,1.0,0.3333333333333333,0.014563106796116505,0.3333333333333333
115,107,9,3,963,11.88888888888889,1,1,1.0,0.0010384215991692627,0.816793893129771,0.3333333333333333,1.0,0.0008481764206955047,0.3333333333333333
116,180,9,3,1620,20.0,2,1,2.0,1.3148148148148149,6.428571428571429,2.3333333333333335,3.0,8.452380952380953,7.0
117,136,3,1,408,45.333333333333336,1,1,1.0,0.04411764705882353,408.0,1.0,1.0,18.0,1.0
118,206,9,3,1854,22.88888888888889,1,2,0.5,0.32038834951456313,0.8385345997286295,0.3333333333333333,0.75,0.26865671641791045,0.25
119,9,3,1,27,3.0,1,1,1.0,13.333333333333334,0.045454545454545456,3.0,1.0,0.6060606060606061,3.0
120,6,3,1,18,2.0,1,1,1.0,20.0,0.04411764705882353,3.0,1.0,0.8823529411764706,3.0
121,118,3,1,354,39.333333333333336,1,1,1.0,0.711864406779661,7.866666666666666,1.0,1.0,5.6,1.0
122,197,3,1,591,65.66666666666667,2,1,2.0,3.6040609137055837,591.0,7.0,1.0,2130.0,7.0
123,59,9,3,531,6.555555555555555,1,1,1.0,1.847457627118644,1.7352941176470589,1.0,1.0,3.2058823529411766,1.0
