intersection_id,tollgate_id,time_window_start,time_window_end,avg_travel_time
A,2.0,2016-07-19 06:00:00,2016-07-19 06:20:00,46.36
A,2.0,2016-07-20 06:00:00,2016-07-20 06:20:00,44.1
A,2.0,2016-07-21 06:00:00,2016-07-21 06:20:00,63.18
A,2.0,2016-07-22 06:00:00,2016-07-22 06:20:00,65.36
A,2.0,2016-07-23 06:00:00,2016-07-23 06:20:00,329.73
A,2.0,2016-07-24 06:00:00,2016-07-24 06:20:00,36.17
A,2.0,2016-07-25 06:00:00,2016-07-25 06:20:00,50.7
A,2.0,2016-07-26 06:00:00,2016-07-26 06:20:00,29.64
A,2.0,2016-07-27 06:00:00,2016-07-27 06:20:00,23.06
A,2.0,2016-07-28 06:00:00,2016-07-28 06:20:00,44.26
A,2.0,2016-07-29 06:00:00,2016-07-29 06:20:00,41.71
A,2.0,2016-07-30 06:00:00,2016-07-30 06:20:00,50.6
A,2.0,2016-07-31 06:00:00,2016-07-31 06:20:00,35.76
A,2.0,2016-08-01 06:00:00,2016-08-01 06:20:00,44.39
A,2.0,2016-08-02 06:00:00,2016-08-02 06:20:00,49.42
A,2.0,2016-08-03 06:00:00,2016-08-03 06:20:00,52.53
A,2.0,2016-08-04 06:00:00,2016-08-04 06:20:00,39.93
A,2.0,2016-08-05 06:00:00,2016-08-05 06:20:00,67.39
A,2.0,2016-08-06 06:00:00,2016-08-06 06:20:00,62.93
A,2.0,2016-08-07 06:00:00,2016-08-07 06:20:00,57.84
A,2.0,2016-08-08 06:00:00,2016-08-08 06:20:00,42.14
A,2.0,2016-08-09 06:00:00,2016-08-09 06:20:00,74.51
A,2.0,2016-08-10 06:00:00,2016-08-10 06:20:00,49.54
A,2.0,2016-08-11 06:00:00,2016-08-11 06:20:00,42.93
A,2.0,2016-08-12 06:00:00,2016-08-12 06:20:00,40.71
A,2.0,2016-08-13 06:00:00,2016-08-13 06:20:00,56.08
A,2.0,2016-08-14 06:00:00,2016-08-14 06:20:00,38.3
A,2.0,2016-08-15 06:00:00,2016-08-15 06:20:00,57.82
A,2.0,2016-08-16 06:00:00,2016-08-16 06:20:00,72.51
A,2.0,2016-08-17 06:00:00,2016-08-17 06:20:00,
A,2.0,2016-08-18 06:00:00,2016-08-18 06:20:00,40.41
A,2.0,2016-08-19 06:00:00,2016-08-19 06:20:00,65.33
A,2.0,2016-08-20 06:00:00,2016-08-20 06:20:00,32.66
A,2.0,2016-08-21 06:00:00,2016-08-21 06:20:00,34.68
A,2.0,2016-08-22 06:00:00,2016-08-22 06:20:00,61.08
A,2.0,2016-08-23 06:00:00,2016-08-23 06:20:00,33.19
A,2.0,2016-08-24 06:00:00,2016-08-24 06:20:00,50.01
A,2.0,2016-08-25 06:00:00,2016-08-25 06:20:00,54.36
A,2.0,2016-08-26 06:00:00,2016-08-26 06:20:00,35.1
A,2.0,2016-08-27 06:00:00,2016-08-27 06:20:00,
A,2.0,2016-08-28 06:00:00,2016-08-28 06:20:00,18.7
A,2.0,2016-08-29 06:00:00,2016-08-29 06:20:00,53.94
A,2.0,2016-08-30 06:00:00,2016-08-30 06:20:00,
